Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,55,789","1,49,865","1,52,881","1,698","11,832","30,332","40,005","2,09,661","1,87,005","2,71,608","2,19,349","4,82,391","2,55,923","2,66,267","2,66,191","3,22,463","4,88,988","3,84,610","3,87,856","4,32,213","47,16,927",115047
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,85,085",0,"4,54,768","5,29,985","3,78,416","4,67,550","5,86,603","5,91,081","6,71,031","6,76,002","6,28,665","4,30,153",0,0,"4,23,170","4,93,550","2,52,677",0,0,"1,08,410","68,77,146",167735.2683
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,374","15,467","14,733","15,311","14,408","13,928","14,579","10,527","12,552","10,995","10,615","8,434","13,186","12,067","12,312","11,831","13,437","9,119","2,28,875",5582.317073
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,910","17,643","16,113","15,455","11,333","11,129","11,795","12,536","18,522","19,386","19,313","22,415","21,465","22,862","34,082","47,220","39,079","38,096","35,382","38,700","4,68,436",11425.26829
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,02,883","6,95,018","6,96,590","7,50,951","7,45,185","7,40,275","7,49,979","7,82,014","6,76,281","8,53,812","7,88,065","7,61,710","8,14,374","7,76,025","8,51,901","8,43,845","8,75,565","8,32,063","5,85,768","6,87,159","1,52,09,463",370962.5122
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,75,714","8,56,042","1,78,092","1,82,542","3,57,250","4,55,643","4,81,951","4,91,229","5,19,011","6,16,890","9,22,335","5,70,057","6,56,949","2,31,627","5,69,391","5,26,263","6,11,207","4,39,725","4,85,974","4,54,117","1,07,82,009",262975.8293
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,15,229","5,18,958","4,98,964","4,92,008","4,48,185","4,50,447","4,40,927","4,37,042","4,38,511","4,71,167","4,70,921","4,28,924","4,47,385","4,90,544","5,03,660","4,97,506","5,55,793","6,12,468","6,03,008","6,08,785","99,30,432",242205.6585
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,035","64,679","61,293","56,009","56,169","55,826","52,849","49,337","53,356","52,605","58,521","57,611","60,785","57,686","58,499","39,525","50,148","47,757","49,274","48,481","10,97,445",26766.95122
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,267","8,946","13,401","16,275","16,347","14,328","14,720","17,365","16,968","18,802","21,163","21,141","19,416","21,102","23,609","24,385","30,723","37,425","30,202","32,396","4,06,981",9926.365854
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,96,502","2,23,531","2,03,356","2,00,081","1,62,798","2,07,199","1,41,677","1,21,878","1,20,670","1,56,230","1,85,200","1,92,865","1,67,205","1,57,309","1,61,058","1,61,004","1,83,698","2,06,346","2,20,276","2,32,838","36,01,721",87846.85366
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,68,507","6,50,357","8,10,298","8,74,167","5,93,877","6,12,478","5,91,049","6,03,158","5,73,433","5,87,868","5,77,141","5,38,394","5,29,083","5,16,142","5,47,022","6,12,198","6,17,377","6,19,924","6,56,397","6,15,350","1,23,94,220",302298.0488
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,23,843","5,39,999","5,66,654","5,54,646","5,41,597","5,54,386","4,90,547","5,03,016","4,87,197","4,66,752","5,20,397","4,25,177","4,26,996","4,41,166","3,88,283","4,07,351","4,37,513","4,24,364","3,65,540","4,02,580","94,68,004",230926.9268
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,501","23,771","21,880","19,426","19,772","18,239","16,146","18,657","23,093","20,620","22,662","25,426","29,585","30,137","30,254","38,139","52,683","61,806","42,784","39,064","5,80,645",14162.07317
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,82,498","44,10,379","38,65,430","40,79,606","41,53,749","41,18,528","39,64,351","37,52,172","41,61,685","39,34,166","42,30,793","50,68,224","48,56,532","48,76,842","46,52,865","48,31,327","7,03,39,147",1715588.951
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,331","28,643","40,352","43,311","57,221","56,224","50,336","61,085","65,693","59,966","73,170","65,225","87,158","69,984","74,722","80,366","79,047","68,292","79,450","74,518","12,43,094",30319.36585
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,29,472","4,38,548","4,40,737","7,12,181","4,21,341","4,58,948","4,66,144","4,94,331","5,27,721","4,76,291","4,76,200","4,45,455","4,66,816","4,47,796","4,30,517","4,37,184","4,58,776","4,14,244","3,60,669","4,00,135","92,03,506",224475.7561
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,43,270","2,39,476","2,36,394","2,66,159","2,47,971","2,19,480","2,36,449","2,39,603","2,39,157","2,33,284","2,21,083","2,16,165","2,01,365","1,90,878","1,95,962","2,12,828","2,23,172","2,36,454","2,05,122","1,87,059","44,91,331",109544.6585
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,38,233","27,58,526","29,73,677","30,19,375","28,68,317","28,35,651","28,70,295","31,51,343","30,66,580","32,95,187","36,40,185","33,94,326","34,47,729","31,88,030","35,13,484","40,97,710","42,57,177","41,16,524","41,15,000","40,20,288","6,74,67,637",1645552.122
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,00,903","33,68,731","33,61,867","33,78,664","32,80,911","33,04,144","32,42,644","35,03,428","34,31,514","37,37,472","39,01,408","39,51,393","38,53,404","36,91,191","38,82,642","41,50,217","50,28,868","43,36,890","40,09,436","44,22,861","7,52,38,588",1835087.512
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,677","6,571","5,144","5,552","4,260","12,784","12,083","11,567","4,942","6,432","6,211","1,718","1,393","3,914","2,329","1,133","1,146",952,"1,272","1,114","94,194",2297.414634
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,32,348","22,17,779","25,92,545","24,58,792","26,77,342","25,86,665","25,67,350","26,57,281","26,90,154","27,35,402","26,65,972","28,25,505","29,73,607","28,07,387","31,89,696","36,48,846","42,95,127","45,04,812","43,20,033","44,88,268","6,13,34,911",1495973.439
